//  ________________________________________________________
// /                                                        \
// | Nome do Script: nobranch.txt                           |
// |--------------------------------------------------------|
// | Criado por: Psy CrystalRO team                         |
// |--------------------------------------------------------|
// | Descrição: Configuração Mapflag que desabilita uso de  |
// |Stuff da Bg nos mapas.                                  |
// |--------------------------------------------------------|
// |                                                        |
// |                                                        |
// | - Anotações                                            |
// | Sempre que adicionar mapa custom de cidade, quest ou   |
// | evento, você deve completar este mapflag na Pasta      |
// | Import ou no Script do mapa.                           |
// \________________________________________________________/

//alb_ship 1	mapflag	nobg
alb2trea	mapflag	nobg
alberta	mapflag	nobg
alberta_in	mapflag	nobg
alde_dun01	mapflag	nobg
alde_dun02	mapflag	nobg
alde_dun03	mapflag	nobg
alde_dun04	mapflag	nobg
aldeba_in	mapflag	nobg
aldebaran	mapflag	nobg
anthell01	mapflag	nobg
anthell02	mapflag	nobg
arena_room	mapflag	nobg
c_tower1	mapflag	nobg
c_tower2	mapflag	nobg
c_tower3	mapflag	nobg
c_tower4	mapflag	nobg
force_1-1	mapflag	nobg
force_1-2	mapflag	nobg
force_1-3	mapflag	nobg
force_2-1	mapflag	nobg
force_2-2	mapflag	nobg
force_2-3	mapflag	nobg
force_3-1	mapflag	nobg
force_3-2	mapflag	nobg
force_3-3	mapflag	nobg
gef_dun00	mapflag	nobg
gef_dun01	mapflag	nobg
gef_dun02	mapflag	nobg
gef_dun03	mapflag	nobg
gef_fild00	mapflag	nobg
gef_fild01	mapflag	nobg
gef_fild02	mapflag	nobg
gef_fild03	mapflag	nobg
gef_fild04	mapflag	nobg
gef_fild05	mapflag	nobg
gef_fild06	mapflag	nobg
gef_fild07	mapflag	nobg
gef_fild08	mapflag	nobg
gef_fild09	mapflag	nobg
gef_fild10	mapflag	nobg
gef_fild11	mapflag	nobg
gef_fild12	mapflag	nobg
gef_fild13	mapflag	nobg
gef_fild14	mapflag	nobg
gef_tower	mapflag	nobg
geffen	mapflag	nobg
geffen_in	mapflag	nobg
gl_cas01	mapflag	nobg
gl_cas02	mapflag	nobg
gl_church	mapflag	nobg
gl_chyard	mapflag	nobg
gl_dun01	mapflag	nobg
gl_dun02	mapflag	nobg
gl_in01	mapflag	nobg
gl_knt01	mapflag	nobg
gl_knt02	mapflag	nobg
gl_prison	mapflag	nobg
gl_prison1	mapflag	nobg
gl_sew01	mapflag	nobg
gl_sew02	mapflag	nobg
gl_sew03	mapflag	nobg
gl_sew04	mapflag	nobg
gl_step	mapflag	nobg
glast_01	mapflag	nobg
hunter_1-1	mapflag	nobg
hunter_2-1	mapflag	nobg
hunter_3-1	mapflag	nobg
in_hunter	mapflag	nobg
in_moc_16	mapflag	nobg
in_orcs01	mapflag	nobg
in_sphinx1	mapflag	nobg
in_sphinx2	mapflag	nobg
in_sphinx3	mapflag	nobg
in_sphinx4	mapflag	nobg
in_sphinx5	mapflag	nobg
iz_dun00	mapflag	nobg
iz_dun01	mapflag	nobg
iz_dun02	mapflag	nobg
iz_dun03	mapflag	nobg
iz_dun04	mapflag	nobg
job_sword1	mapflag	nobg
izlu2dun	mapflag	nobg
izlude	mapflag	nobg
izlude_in	mapflag	nobg
job_thief1	mapflag	nobg
knight_1-1	mapflag	nobg
knight_2-1	mapflag	nobg
knight_3-1	mapflag	nobg
mjo_dun01	mapflag	nobg
mjo_dun02	mapflag	nobg
mjo_dun03	mapflag	nobg
mjolnir_01	mapflag	nobg
mjolnir_02	mapflag	nobg
mjolnir_03	mapflag	nobg
mjolnir_04	mapflag	nobg
mjolnir_05	mapflag	nobg
mjolnir_06	mapflag	nobg
mjolnir_07	mapflag	nobg
mjolnir_08	mapflag	nobg
mjolnir_09	mapflag	nobg
mjolnir_10	mapflag	nobg
mjolnir_11	mapflag	nobg
mjolnir_12	mapflag	nobg
moc_castle	mapflag	nobg
moc_fild01	mapflag	nobg
moc_fild02	mapflag	nobg
moc_fild03	mapflag	nobg
moc_fild04	mapflag	nobg
moc_fild05	mapflag	nobg
moc_fild06	mapflag	nobg
moc_fild07	mapflag	nobg
moc_fild08	mapflag	nobg
moc_fild09	mapflag	nobg
moc_fild10	mapflag	nobg
moc_fild11	mapflag	nobg
moc_fild12	mapflag	nobg
moc_fild13	mapflag	nobg
moc_fild14	mapflag	nobg
moc_fild15	mapflag	nobg
moc_fild16	mapflag	nobg
moc_fild17	mapflag	nobg
moc_fild18	mapflag	nobg
moc_fild19	mapflag	nobg
moc_pryd01	mapflag	nobg
moc_pryd02	mapflag	nobg
moc_pryd03	mapflag	nobg
moc_pryd04	mapflag	nobg
moc_pryd05	mapflag	nobg
moc_pryd06	mapflag	nobg
moc_prydb1	mapflag	nobg
moc_ruins	mapflag	nobg
monk_in	mapflag	nobg
morocc	mapflag	nobg
morocc_in	mapflag	nobg
new_1-1	mapflag	nobg
new_1-2	mapflag	nobg
new_1-3	mapflag	nobg
new_1-4	mapflag	nobg
new_2-1	mapflag	nobg
new_2-2	mapflag	nobg
new_2-3	mapflag	nobg
new_2-4	mapflag	nobg
new_3-1	mapflag	nobg
new_3-2	mapflag	nobg
new_3-3	mapflag	nobg
new_3-4	mapflag	nobg
new_4-1	mapflag	nobg
new_4-2	mapflag	nobg
new_4-3	mapflag	nobg
new_4-4	mapflag	nobg
new_5-1	mapflag	nobg
new_5-2	mapflag	nobg
new_5-3	mapflag	nobg
new_5-4	mapflag	nobg
orcsdun01	mapflag	nobg
orcsdun02	mapflag	nobg
//ordeal_1-1	mapflag	nobg
//ordeal_1-2	mapflag	nobg
